Name, Rate, Phone Numbers that Start With, 
Brazil,0.040,"55, 5511, 5512, 5513, 5514, 5515, 5516, 5517, 5518, 5519, 5521, 5531, 5533, 5537, 5538, 5541, 5542, 5543, 5544, 5545, 5551, 5562, 5565, 5569, 5573, 5575, 5581, 5582, 5583, 5592, 55120, 55121, 55122, 55123, 55124, 55125, 55130, 55131, 55132, 55133, 55134, 55135, 55150, 55151, 55152, 55153, 55154, 55155, 55190, 55191, 55192, 55193, 55194, 55195, 55270, 55271, 55272, 55273, 55274, 55275, 55331, 55332, 55333, 55334, 55335, 55342, 55343, 55344, 55345, 55350, 55351, 55352, 55353, 55354, 55355, 55411, 55412, 55413, 55414, 55415, 55431, 55432, 55433, 55434, 55435, 55470, 55471, 55472, 55473, 55474, 55475, 55480, 55481, 55482, 55483, 55484, 55485, 55511, 55512, 55513, 55514, 55515, 55610, 55611, 55612, 55613, 55614, 55615, 55621, 55622, 55623, 55624, 55625, 55650, 55651, 55652, 55653, 55654, 55655, 55670, 55671, 55672, 55673, 55674, 55675, 55710, 55711, 55712, 55713, 55714, 55715, 55730, 55731, 55732, 55733, 55734, 55735, 55811, 55812, 55813, 55814, 55815, 55820, 55821, 55822, 55823, 55824, 55825, 55830, 55831, 55832, 55833, 55834, 55835, 55840, 55841, 55842, 55843, 55844, 55845, 55850, 55851, 55852, 55853, 55854, 55855, 55910, 55911, 55912, 55913, 55914, 55915, 55920, 55921, 55922, 55923, 55924, 55925, 55982, 55983, 55984, 55985, 55991, 55992, 55993, 55994, 55995"
Brazil,0.240,"55116, 55117, 55118, 55119, 55126, 55127, 55128, 55129, 55136, 55137, 55138, 55139, 55146, 55147, 55148, 55149, 55156, 55157, 55158, 55159, 55166, 55167, 55168, 55169, 55176, 55177, 55178, 55179, 55186, 55187, 55188, 55189, 55196, 55197, 55198, 55199, 55206, 55207, 55208, 55209, 55216, 55217, 55218, 55219, 55226, 55227, 55228, 55229, 55236, 55237, 55238, 55239, 55246, 55247, 55248, 55249, 55256, 55257, 55258, 55259, 55266, 55267, 55268, 55269, 55276, 55277, 55278, 55279, 55286, 55287, 55288, 55289, 55296, 55297, 55298, 55299, 55306, 55307, 55308, 55309, 55316, 55317, 55318, 55319, 55326, 55327, 55328, 55329, 55336, 55337, 55338, 55339, 55346, 55347, 55348, 55349, 55356, 55357, 55358, 55359, 55366, 55367, 55368, 55369, 55376, 55377, 55378, 55379, 55386, 55387, 55388, 55389, 55396, 55397, 55398, 55399, 55406, 55407, 55408, 55409, 55416, 55417, 55418, 55419, 55426, 55427, 55428, 55429, 55436, 55437, 55438, 55439, 55446, 55447, 55448, 55449, 55456, 55457, 55458, 55459, 55466, 55467, 55468, 55469, 55476, 55477, 55478, 55479, 55486, 55487, 55488, 55489, 55496, 55497, 55498, 55499, 55506, 55507, 55508, 55509, 55516, 55517, 55518, 55519, 55526, 55527, 55528, 55529, 55536, 55537, 55538, 55539, 55546, 55547, 55548, 55549, 55556, 55557, 55558, 55559, 55566, 55567, 55568, 55569, 55576, 55577, 55578, 55579, 55586, 55587, 55588, 55589, 55596, 55597, 55598, 55599, 55606, 55607, 55608, 55609, 55616, 55617, 55618, 55619, 55626, 55627, 55628, 55629, 55636, 55637, 55638, 55639, 55646, 55647, 55648, 55649, 55656, 55657, 55658, 55659, 55666, 55667, 55668, 55669, 55676, 55677, 55678, 55679, 55686, 55687, 55688, 55689, 55696, 55697, 55698, 55699, 55706, 55707, 55708, 55709, 55716, 55717, 55718, 55719, 55726, 55727, 55728, 55729, 55736, 55737, 55738, 55739, 55746, 55747, 55748, 55749, 55756, 55757, 55758, 55759, 55766, 55767, 55768, 55769, 55776, 55777, 55778, 55779, 55786, 55787, 55788, 55789, 55796, 55797, 55798, 55799, 55806, 55807, 55808, 55809, 55816, 55817, 55818, 55819, 55826, 55827, 55828, 55829, 55836, 55837, 55838, 55839, 55846, 55847, 55848, 55849, 55856, 55857, 55858, 55859, 55866, 55867, 55868, 55869, 55876, 55877, 55878, 55879, 55886, 55887, 55888, 55889, 55896, 55897, 55898, 55899, 55906, 55907, 55908, 55909, 55916, 55917, 55918, 55919, 55926, 55927, 55928, 55929, 55936, 55937, 55938, 55939, 55946, 55947, 55948, 55949, 55956, 55957, 55958, 55959, 55966, 55967, 55968, 55969, 55976, 55977, 55978, 55979, 55986, 55987, 55988, 55989, 55996, 55997, 55998, 55999"
Brunei,0.078,"673, 6738"
Bulgaria,0.071,"359, 3592"
Bulgaria,0.071,"359430, 359437, 359438, 359439"
Bulgaria,0.130,"35917, 35948, 35988, 35998, 35999"
Bulgaria,0.621,"35987, 35989"
"Burkina Faso",0.353,"226, 2262, 2266, 2267, 2268, 22657, 22658, 22659, 22670, 22671, 22675, 22676, 22678"
Burundi,0.358,"257, 25729, 25776, 25777, 25778, 25779"
Cambodia,0.148,"855, 8551, 8559, 85523, 85581, 85583, 85584, 85589"
